all,linenumber,processname,pid,sys,vfs,fs,cache,block,driver,storage,journaling,total,wait,type,filename,starttime,endtime,iosize,class
1,17,set_ftrace.sh,1982,0.000000,0.000000,0.000030,0.000000,0.000000,0.000000,0.000000,0.000000,0.000030,0.000000,read,set_ftrace.sh,35.499466,35.499496,512,
1,29,Binder_2,700,0.000000,0.000030,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000030,0.000000,write,tasks,35.499680,35.499710,3,
1,34,Binder_2,700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,write,tasks,35.499802,35.499802,3,
1,3890,Binder_2,700,0.000000,0.000031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000031,0.000000,write,tasks,35.555562,35.555593,3,
1,3897,Binder_2,700,0.000030,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000030,0.000000,write,tasks,35.555654,35.555684,3,
1,6094,Binder_2,700,0.000000,0.000031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000031,0.000000,write,tasks,35.579063,35.579094,3,
1,6111,Binder_2,700,0.000030,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000030,0.000000,write,tasks,35.579155,35.579185,3,
1,8495,Binder_2,700,0.000031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000031,0.000000,write,tasks,35.597558,35.597589,3,
1,8519,Binder_2,700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,write,tasks,35.597680,35.597680,3,
1,21517,Binder_2,700,0.000030,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000030,0.000000,write,tasks,35.663086,35.663116,3,
1,21536,Binder_2,700,0.000000,0.000031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000031,0.000000,write,tasks,35.663177,35.663208,3,
1,86918,Binder_2,700,0.000030,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000030,0.000000,write,tasks,36.858294,36.858324,3,
1,86922,Binder_2,700,0.000000,0.000031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000031,0.000000,write,tasks,36.858416,36.858447,3,
1,86996,Binder_2,700,0.000000,0.000030,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000030,0.000000,write,tasks,36.859271,36.859301,3,
1,87001,Binder_2,700,0.000030,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000030,0.000000,write,tasks,36.859332,36.859362,3,
1,89391,Binder_2,700,0.000000,0.000031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000031,0.000000,write,tasks,36.955135,36.955166,3,
1,89395,Binder_2,700,0.000030,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000030,0.000000,write,tasks,36.955166,36.955196,3,
1,89399,Binder_2,700,0.000031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000031,0.000000,write,tasks,36.955196,36.955227,3,
1,96553,Binder_2,700,0.000000,0.000031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000031,0.000000,write,tasks,37.015443,37.015474,3,
1,101166,Binder_2,700,0.000030,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000030,0.000000,write,tasks,37.103220,37.103250,3,
1,101996,Binder_2,700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,write,tasks,37.133923,37.133923,3,
1,401,ndroid.systemui,761,0.000000,0.000030,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000030,0.000000,read,no_name,35.507127,35.507157,16,
1,1362,ndroid.systemui,761,0.000030,0.000000,0.000031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000061,0.000000,read,no_name,35.520037,35.520098,16,
1,1631,ndroid.systemui,761,0.000031,0.000030,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000061,0.000000,read,no_name,35.532306,35.532367,16,
1,3932,ndroid.systemui,761,0.000031,0.000030,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000061,0.000000,read,no_name,35.555929,35.555990,16,
1,4548,ndroid.systemui,761,0.000000,0.000000,0.000030,0.000000,0.000000,0.000000,0.000000,0.000000,0.000030,0.000000,read,no_name,35.563925,35.563955,16,
1,7157,ndroid.systemui,761,0.000000,0.000031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000031,0.000000,read,no_name,35.589501,35.589532,16,
1,9514,ndroid.systemui,761,0.000000,0.000000,0.000031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000031,0.000000,read,no_name,35.602716,35.602747,16,
1,11745,ndroid.systemui,761,0.000031,0.000031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000062,0.000000,read,no_name,35.614985,35.615047,16,
1,15042,ndroid.systemui,761,0.000030,0.000000,0.000031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000061,0.000000,read,no_name,35.631528,35.631589,16,
1,18233,ndroid.systemui,761,0.000000,0.000000,0.000030,0.000000,0.000000,0.000000,0.000000,0.000000,0.000030,0.000000,read,no_name,35.647368,35.647398,16,
1,21571,ndroid.systemui,761,0.000000,0.000000,0.000030,0.000000,0.000000,0.000000,0.000000,0.000000,0.000030,0.000000,read,no_name,35.663635,35.663665,16,
1,665,ndroid.systemui,761,0.000000,0.000031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000031,0.000000,write,no_name,35.509568,35.509599,1,
1,682,ndroid.systemui,761,0.000000,0.000000,0.000031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000031,0.000000,write,no_name,35.509690,35.509721,1,
1,1415,ndroid.systemui,761,0.000000,0.000000,0.000031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000031,0.000000,write,no_name,35.526293,35.526324,1,
1,1421,ndroid.systemui,761,0.000000,0.000000,0.000031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000031,0.000000,write,no_name,35.526415,35.526446,1,
1,2709,ndroid.systemui,761,0.000000,0.000000,0.000030,0.000000,0.000000,0.000000,0.000000,0.000000,0.000030,0.000000,write,no_name,35.544911,35.544941,1,
1,2722,ndroid.systemui,761,0.000000,0.000000,0.000030,0.000000,0.000000,0.000000,0.000000,0.000000,0.000030,0.000000,write,no_name,35.545033,35.545063,1,
1,4228,ndroid.systemui,761,0.000000,0.000000,0.000031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000031,0.000000,write,no_name,35.559530,35.559561,1,
1,4244,ndroid.systemui,761,0.000061,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000061,0.000000,write,no_name,35.559622,35.559683,1,
1,5750,ndroid.systemui,761,0.000061,0.000031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000092,0.000000,write,no_name,35.576255,35.576347,1,
1,5771,ndroid.systemui,761,0.000000,0.000061,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000061,0.000549,write,no_name,35.576408,35.577018,1,
1,7990,ndroid.systemui,761,0.000000,0.000000,0.000031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000031,0.000000,write,no_name,35.594964,35.594995,1,
1,8015,ndroid.systemui,761,0.000000,0.000000,0.000031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000031,0.000000,write,no_name,35.595086,35.595117,1,
1,11039,ndroid.systemui,761,0.000030,0.000031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000061,0.000000,write,no_name,35.609553,35.609614,1,
1,11065,ndroid.systemui,761,0.000030,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000030,0.000000,write,no_name,35.609675,35.609705,1,
1,14055,ndroid.systemui,761,0.000031,0.000030,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000061,0.000000,write,no_name,35.626278,35.626339,1,
